1655,SURGERY,223C,11,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,11/03/2025,11/07/2025,Closed,1,1,0,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1656,SURGERY,223C,12,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,11/10/2025,11/14/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1657,SURGERY,223C,13,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,11/17/2025,11/21/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1658,SURGERY,223C,14,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,11/24/2025,11/26/2025,Closed,1,1,0,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1659,SURGERY,223C,15,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,12/01/2025,12/05/2025,Open,1,0,1,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1660,SURGERY,223C,17,"From Cosmesis to Reconstruction, from Infants to the Elderly","This plastic surgery selective is designed to introduce the second year medical student to the medical and surgical aspects of comprehensive plastic surgery, including the subspecialties (hand, aesthetics, extremity salvage, soft tissue coverage, craniomaxillofacial, reconstructive microsurgery). There will be didactic instruction with patient care exposure in the clinic setting, outpatient surgery center and the operating room. Permission is required for enrollment. Students must contact Dr. Sisk (geoffroy.sisk@duke.edu) or Chris Duke(christine.g.duke@duke.edu) to request permission to enroll and to obtain a permission number. Clinical Contact for students: Erica Sudyk, (erica.sudyk@duke.edu). Credit: 1. Enrollment Max. 1, unless otherwise noted. Location and time: Duke North 6300 ward at 6:00am. Geoffroy Sisk, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,12/08/2025,12/12/2025,Closed,1,1,0,0,0,Credit / No Credit,N,-; Geoffroy Courcelle Sisk
1178,SURGERY,224C,01,Surgical Critical Care in the Modern Era,"The Surgical Critical Care Selective introduces the second year medical student to the comprehensive care of the critically ill surgical patient. Students participate in the care of: the postoperative patient, the septic patient, the patient after multiple trauma, the patient suffering from multi-system organ failure, and the patient with acute lung injury/acute respiratory distress syndrome. Students are part of the Surgical Critical Care team. Students present on rounds, participate in didactic sessions, and experience direct patient care exposure in the Surgical Intensive Care Unit (SICU) setting. Students will be able to learn from attendings, fellows, residents, PA/NPs, and other ancillary staff. Usual shifts are 6am-6pm including signout. Students are advised to experience night call during the selective in order to maximize one's experience. Please plan on attending fellow lectures, journal club, critical care grand rounds, and other opportunities during your time in the SICU. Credit: 1. Enrollment Max. 3. Location: DMP - 6W, SICU- 6:00 a.m. Please report to the resident at the computer stations on the high-numbered side of the SICU for sign out at 6:00am. The fellow and attendings rotate weekly and will help facilitate your first day. For more information and to confirm meeting location and time, please contact: Dr. Cory Vatsaas via email, cory.vatsaas@duke.edu. Students should contact Dr. Vatsaas one week prior to the selective to discuss expectations and to clarify their first day plan. Cory Vatsaas, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,08/25/2025,08/29/2025,Open,3,0,3,0,0,Credit / No Credit,N,-; Cory Vatsaas
1180,SURGERY,224C,02,Surgical Critical Care in the Modern Era,"The Surgical Critical Care Selective introduces the second year medical student to the comprehensive care of the critically ill surgical patient. Students participate in the care of: the postoperative patient, the septic patient, the patient after multiple trauma, the patient suffering from multi-system organ failure, and the patient with acute lung injury/acute respiratory distress syndrome. Students are part of the Surgical Critical Care team. Students present on rounds, participate in didactic sessions, and experience direct patient care exposure in the Surgical Intensive Care Unit (SICU) setting. Students will be able to learn from attendings, fellows, residents, PA/NPs, and other ancillary staff. Usual shifts are 6am-6pm including signout. Students are advised to experience night call during the selective in order to maximize one's experience. Please plan on attending fellow lectures, journal club, critical care grand rounds, and other opportunities during your time in the SICU. Credit: 1. Enrollment Max. 3. Location: DMP - 6W, SICU- 6:00 a.m. Please report to the resident at the computer stations on the high-numbered side of the SICU for sign out at 6:00am. The fellow and attendings rotate weekly and will help facilitate your first day. For more information and to confirm meeting location and time, please contact: Dr. Cory Vatsaas via email, cory.vatsaas@duke.edu. Students should contact Dr. Vatsaas one week prior to the selective to discuss expectations and to clarify their first day plan. Cory Vatsaas, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/02/2025,09/05/2025,Open,3,0,3,0,0,Credit / No Credit,N,-; Cory Vatsaas
1181,SURGERY,224C,03,Surgical Critical Care in the Modern Era,"The Surgical Critical Care Selective introduces the second year medical student to the comprehensive care of the critically ill surgical patient. Students participate in the care of: the postoperative patient, the septic patient, the patient after multiple trauma, the patient suffering from multi-system organ failure, and the patient with acute lung injury/acute respiratory distress syndrome. Students are part of the Surgical Critical Care team. Students present on rounds, participate in didactic sessions, and experience direct patient care exposure in the Surgical Intensive Care Unit (SICU) setting. Students will be able to learn from attendings, fellows, residents, PA/NPs, and other ancillary staff. Usual shifts are 6am-6pm including signout. Students are advised to experience night call during the selective in order to maximize one's experience. Please plan on attending fellow lectures, journal club, critical care grand rounds, and other opportunities during your time in the SICU. Credit: 1. Enrollment Max. 3. Location: DMP - 6W, SICU- 6:00 a.m. Please report to the resident at the computer stations on the high-numbered side of the SICU for sign out at 6:00am. The fellow and attendings rotate weekly and will help facilitate your first day. For more information and to confirm meeting location and time, please contact: Dr. Cory Vatsaas via email, cory.vatsaas@duke.edu. Students should contact Dr. Vatsaas one week prior to the selective to discuss expectations and to clarify their first day plan. Cory Vatsaas, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/08/2025,09/12/2025,Open,3,0,3,0,0,Credit / No Credit,N,-; Cory Vatsaas
1182,SURGERY,224C,04,Surgical Critical Care in the Modern Era,"The Surgical Critical Care Selective introduces the second year medical student to the comprehensive care of the critically ill surgical patient. Students participate in the care of: the postoperative patient, the septic patient, the patient after multiple trauma, the patient suffering from multi-system organ failure, and the patient with acute lung injury/acute respiratory distress syndrome. Students are part of the Surgical Critical Care team. Students present on rounds, participate in didactic sessions, and experience direct patient care exposure in the Surgical Intensive Care Unit (SICU) setting. Students will be able to learn from attendings, fellows, residents, PA/NPs, and other ancillary staff. Usual shifts are 6am-6pm including signout. Students are advised to experience night call during the selective in order to maximize one's experience. Please plan on attending fellow lectures, journal club, critical care grand rounds, and other opportunities during your time in the SICU. Credit: 1. Enrollment Max. 3. Location: DMP - 6W, SICU- 6:00 a.m. Please report to the resident at the computer stations on the high-numbered side of the SICU for sign out at 6:00am. The fellow and attendings rotate weekly and will help facilitate your first day. For more information and to confirm meeting location and time, please contact: Dr. Cory Vatsaas via email, cory.vatsaas@duke.edu. Students should contact Dr. Vatsaas one week prior to the selective to discuss expectations and to clarify their first day plan. Cory Vatsaas, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/15/2025,09/19/2025,Open,3,0,3,0,0,Credit / No Credit,N,-; Cory Vatsaas
1168,SURGERY,224C,05,Surgical Critical Care in the Modern Era,"The Surgical Critical Care Selective introduces the second year medical student to the comprehensive care of the critically ill surgical patient. Students participate in the care of: the postoperative patient, the septic patient, the patient after multiple trauma, the patient suffering from multi-system organ failure, and the patient with acute lung injury/acute respiratory distress syndrome. Students are part of the Surgical Critical Care team. Students present on rounds, participate in didactic sessions, and experience direct patient care exposure in the Surgical Intensive Care Unit (SICU) setting. Students will be able to learn from attendings, fellows, residents, PA/NPs, and other ancillary staff. Usual shifts are 6am-6pm including signout. Students are advised to experience night call during the selective in order to maximize one's experience. Please plan on attending fellow lectures, journal club, critical care grand rounds, and other opportunities during your time in the SICU. Credit: 1. Enrollment Max. 3. Location: DMP - 6W, SICU- 6:00 a.m. Please report to the resident at the computer stations on the high-numbered side of the SICU for sign out at 6:00am. The fellow and attendings rotate weekly and will help facilitate your first day. For more information and to confirm meeting location and time, please contact: Dr. Cory Vatsaas via email, cory.vatsaas@duke.edu. Students should contact Dr. Vatsaas one week prior to the selective to discuss expectations and to clarify their first day plan. Cory Vatsaas, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/22/2025,09/26/2025,Open,3,0,3,0,0,Credit / No Credit,N,-; Cory Vatsaas
1183,SURGERY,224C,06,Surgical Critical Care in the Modern Era,"The Surgical Critical Care Selective introduces the second year medical student to the comprehensive care of the critically ill surgical patient. Students participate in the care of: the postoperative patient, the septic patient, the patient after multiple trauma, the patient suffering from multi-system organ failure, and the patient with acute lung injury/acute respiratory distress syndrome. Students are part of the Surgical Critical Care team. Students present on rounds, participate in didactic sessions, and experience direct patient care exposure in the Surgical Intensive Care Unit (SICU) setting. Students will be able to learn from attendings, fellows, residents, PA/NPs, and other ancillary staff. Usual shifts are 6am-6pm including signout. Students are advised to experience night call during the selective in order to maximize one's experience. Please plan on attending fellow lectures, journal club, critical care grand rounds, and other opportunities during your time in the SICU. Credit: 1. Enrollment Max. 3. Location: DMP - 6W, SICU- 6:00 a.m. Please report to the resident at the computer stations on the high-numbered side of the SICU for sign out at 6:00am. The fellow and attendings rotate weekly and will help facilitate your first day. For more information and to confirm meeting location and time, please contact: Dr. Cory Vatsaas via email, cory.vatsaas@duke.edu. Students should contact Dr. Vatsaas one week prior to the selective to discuss expectations and to clarify their first day plan. Cory Vatsaas, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,09/29/2025,10/03/2025,Open,3,1,2,0,0,Credit / No Credit,N,-; Cory Vatsaas
1184,SURGERY,224C,07,Surgical Critical Care in the Modern Era,"The Surgical Critical Care Selective introduces the second year medical student to the comprehensive care of the critically ill surgical patient. Students participate in the care of: the postoperative patient, the septic patient, the patient after multiple trauma, the patient suffering from multi-system organ failure, and the patient with acute lung injury/acute respiratory distress syndrome. Students are part of the Surgical Critical Care team. Students present on rounds, participate in didactic sessions, and experience direct patient care exposure in the Surgical Intensive Care Unit (SICU) setting. Students will be able to learn from attendings, fellows, residents, PA/NPs, and other ancillary staff. Usual shifts are 6am-6pm including signout. Students are advised to experience night call during the selective in order to maximize one's experience. Please plan on attending fellow lectures, journal club, critical care grand rounds, and other opportunities during your time in the SICU. Credit: 1. Enrollment Max. 3. Location: DMP - 6W, SICU- 6:00 a.m. Please report to the resident at the computer stations on the high-numbered side of the SICU for sign out at 6:00am. The fellow and attendings rotate weekly and will help facilitate your first day. For more information and to confirm meeting location and time, please contact: Dr. Cory Vatsaas via email, cory.vatsaas@duke.edu. Students should contact Dr. Vatsaas one week prior to the selective to discuss expectations and to clarify their first day plan. Cory Vatsaas, MD",,1,CLN,E,School of Medicine,In Person,Duke University,Durham,Med Second Year,10/06/2025,10/10/2025,Open,3,0,3,0,0,Credit / No Credit,N,-; Cory Vatsaas
